team_key,team_name,Expected Points,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV,Expected Rank,rank,playoff_seed,wins,losses,ties,percentage,games_back
469.l.83828.t.12,JT,628.5,69.0,57.0,55.0,47.5,53.0,41.0,46.0,56.5,61.5,45.0,45.5,51.5,1,1,1,45,25,2,.639,-
469.l.83828.t.10,Ian,556.5,56.0,54.5,60.5,23.5,55.5,51.0,47.0,48.0,35.5,38.0,38.0,49.0,7,2,2,41,30,1,.576,4.5
469.l.83828.t.1,Jose,562.5,44.0,51.0,36.5,54.0,44.5,48.0,46.0,57.0,62.5,47.5,40.0,31.5,6,3,3,39,30,3,.563,5.5
469.l.83828.t.13,dawson,505.0,48.5,28.5,38.0,41.5,34.0,43.5,56.0,40.5,46.0,40.0,33.5,55.0,11,4,4,39,31,2,.556,6
469.l.83828.t.7,nathan,610.5,37.5,47.5,54.5,34.5,57.5,49.5,57.0,57.5,56.0,56.5,56.0,46.5,2,5,5,38,31,3,.549,6.5
469.l.83828.t.5,Dante,575.5,58.0,44.5,52.5,52.0,46.5,52.5,61.0,49.5,32.5,39.0,38.0,49.5,4,6,6,34,33,5,.507,9.5
469.l.83828.t.2,Jahn,570.5,37.5,50.0,42.5,33.0,51.5,55.5,39.5,60.0,64.0,61.5,65.0,10.5,5,7,7,35,37,0,.486,11
469.l.83828.t.4,gabriel,606.0,47.5,55.0,64.5,53.0,58.0,49.5,46.0,40.0,35.0,44.0,49.0,64.5,3,8,8,35,37,0,.486,11
469.l.83828.t.9,Matt,459.0,22.5,33.0,29.0,47.0,29.5,34.5,36.0,65.0,62.5,46.0,43.5,10.5,13,9,,33,37,2,.472,12
469.l.83828.t.3,quinn,521.5,49.0,48.0,40.5,49.0,53.0,48.0,45.5,39.5,30.0,39.0,43.0,37.0,8,10,,33,37,2,.472,12
469.l.83828.t.6,david,509.0,56.0,54.5,46.5,30.0,44.5,50.0,49.0,20.0,13.0,46.0,50.5,49.0,10,11,,33,39,0,.458,13
469.l.83828.t.8,Ben,433.5,29.5,40.0,47.5,34.5,33.5,42.5,40.5,26.0,36.0,30.5,30.5,42.5,14,12,,30,38,4,.444,14
469.l.83828.t.14,adam,518.0,38.5,31.5,18.0,60.0,31.0,31.0,28.5,54.5,55.5,54.0,54.0,61.5,9,13,,28,41,3,.410,16.5
469.l.83828.t.11,Zach,504.0,36.5,35.0,44.5,70.5,38.0,33.5,32.0,16.0,40.0,43.0,43.5,71.5,12,14,,26,43,3,.382,18.5
