week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
1,0,469.l.83828.t.1,1,Jose,-1,28/127,16,8,20,1,56,.220,.294,38.0,49,6.63,1.47,0
1,0,469.l.83828.t.13,13,dawson,-1,25/118,18,1,12,2,37,.212,.351,28.1,34,4.13,1.31,3
1,1,469.l.83828.t.2,2,Jahn,1,29/131,23,6,19,1,50,.221,.346,32.1,42,3.62,1.18,0
1,1,469.l.83828.t.8,8,Ben,0,21/127,13,1,13,0,31,.165,.277,31.0,36,2.61,0.84,1
1,2,469.l.83828.t.3,3,quinn,0,31/122,16,5,17,4,50,.254,.333,16.1,13,5.51,1.53,0
1,2,469.l.83828.t.4,4,gabriel,1,28/116,21,7,19,3,56,.241,.378,29.2,34,3.34,1.15,3
1,3,469.l.83828.t.5,5,Dante,1,32/124,18,3,23,6,45,.258,.367,30.0,23,8.10,1.67,1
1,3,469.l.83828.t.9,9,Matt,0,28/131,12,3,21,2,42,.214,.252,32.2,33,7.16,1.53,0
1,4,469.l.83828.t.6,6,david,0,28/118,16,2,13,5,39,.237,.305,28.2,31,3.77,1.43,1
1,4,469.l.83828.t.10,10,Ian,1,42/148,24,12,23,0,82,.284,.361,18.2,20,3.86,1.29,3
1,5,469.l.83828.t.7,7,nathan,1,26/123,16,9,18,3,56,.211,.288,34.1,40,1.83,1.31,4
1,5,469.l.83828.t.14,14,adam,0,30/126,18,3,12,4,45,.238,.314,24.2,26,2.19,0.97,3
1,6,469.l.83828.t.11,11,Zach,0,29/110,13,1,11,3,38,.264,.354,24.2,33,4.38,1.38,6
1,6,469.l.83828.t.12,12,JT,1,38/138,22,7,19,3,66,.275,.348,28.1,40,0.32,0.67,2
2,0,469.l.83828.t.1,1,Jose,0,54/246,28,4,23,4,81,.220,.311,48.1,53,2.23,1.01,1
2,0,469.l.83828.t.14,14,adam,1,49/221,34,4,18,5,77,.222,.318,53.0,57,3.06,1.06,3
2,1,469.l.83828.t.2,2,Jahn,-1,54/209,30,9,27,3,85,.258,.349,64.2,71,3.62,1.28,0
2,1,469.l.83828.t.3,3,quinn,-1,53/235,31,5,29,1,86,.226,.305,56.0,43,2.89,1.18,4
2,2,469.l.83828.t.4,4,gabriel,0,53/205,35,11,30,4,97,.259,.353,39.1,45,4.12,1.17,3
2,2,469.l.83828.t.6,6,david,1,65/206,40,9,39,3,108,.316,.385,34.2,29,1.56,0.78,2
2,3,469.l.83828.t.5,5,Dante,1,51/223,31,6,25,6,82,.229,.320,39.0,30,1.62,0.97,3
2,3,469.l.83828.t.11,11,Zach,0,41/212,28,6,23,12,72,.193,.297,36.1,49,2.23,1.05,6
